Farm,Type,Round,Date,Species,Number
Farm1,ELS,2,02/07/13,Bombus pascuorum,2
Farm1,ELS,2,02/07/13,Bombus pascuorum,2
Farm1,ELS,2,02/07/13,Bombus pascuorum,1
Farm1,ELS,2,02/07/13,Bombus pascuorum,1
Farm1,ELS,2,02/07/13,Bombus pascuorum,1
Farm1,ELS,3,11/08/13,Bombus pascuorum,7
Farm1,ELS,3,11/08/13,Bombus pascuorum,2
Farm1,ELS,3,11/08/13,Bombus pascuorum,1
Farm1,ELS,3,11/08/13,Bombus pascuorum,1
Farm1,ELS,3,11/08/13,Bombus pascuorum,1
Farm1,ELS,3,11/08/13,Bombus pascuorum,1
Farm1,ELS,3,11/08/13,Bombus pascuorum,2
Farm1,ELS,2,06/26/14,Bombus pascuorum,2
Farm1,ELS,2,06/26/14,Bombus pascuorum,1
Farm1,ELS,3,05/08/14,Bombus pascuorum,1
Farm1,ELS,3,05/08/14,Bombus pascuorum,1
Farm1,ELS,2,02/07/13,Bombus pratorum,1
Farm1,ELS,2,02/07/13,Bombus pratorum,2
Farm1,ELS,2,02/07/13,Bombus pratorum,1
Farm1,ELS,3,05/08/14,Bombus rupestris,1
Farm1,ELS,1,01/06/13,Bombus terrestris,1
Farm1,ELS,2,02/07/13,Bombus terrestris,2
Farm1,ELS,2,02/07/13,Bombus terrestris,1
Farm1,ELS,2,02/07/13,Bombus terrestris,1
Farm1,ELS,2,02/07/13,Bombus terrestris,1
Farm1,ELS,2,02/07/13,Bombus terrestris,1
Farm1,ELS,2,02/07/13,Bombus terrestris,1
Farm1,ELS,3,11/08/13,Bombus terrestris,1
Farm1,ELS,3,11/08/13,Bombus terrestris,14
Farm1,ELS,3,11/08/13,Bombus terrestris,1
Farm1,ELS,3,11/08/13,Bombus terrestris,3
Farm1,ELS,3,11/08/13,Bombus terrestris,1
Farm1,ELS,3,11/08/13,Bombus terrestris,2
Farm1,ELS,3,11/08/13,Bombus terrestris,1
Farm1,ELS,3,11/08/13,Bombus terrestris,1
Farm1,ELS,3,11/08/13,Bombus terrestris,1
Farm1,ELS,1,05/19/14,Bombus terrestris,1
Farm1,ELS,2,06/26/14,Bombus terrestris,1
Farm1,ELS,2,06/26/14,Bombus terrestris,1
Farm1,ELS,2,06/26/14,Bombus terrestris,2
Farm1,ELS,2,06/26/14,Bombus terrestris,1
Farm1,ELS,3,05/08/14,Bombus terrestris,1
Farm1,ELS,3,05/08/14,Bombus terrestris,4
Farm1,ELS,3,05/08/14,Bombus terrestris,2
Farm1,ELS,3,05/08/14,Bombus terrestris,1
Farm1,ELS,2,06/26/14,Colletes daviesanus,1
Farm1,ELS,3,05/08/14,Halictus tumulorum,3
Farm1,ELS,3,05/08/14,Halictus tumulorum,1
Farm1,ELS,3,05/08/14,Lasioglossum leucozonium,1
Farm1,ELS,2,06/26/14,Lasioglossum malachurum,1
Farm1,ELS,2,06/26/14,Lasioglossum malachurum,1
Farm1,ELS,2,06/26/14,Lasioglossum malachurum,2
Farm1,ELS,2,06/26/14,Lasioglossum malachurum,1
Farm1,ELS,2,06/26/14,Lasioglossum malachurum,1
Farm1,ELS,3,05/08/14,Lasioglossum malachurum,2
Farm1,ELS,3,05/08/14,Lasioglossum morio,1
Farm1,ELS,3,05/08/14,Lasioglossum pauxillum,1
Farm1,ELS,3,05/08/14,Lasioglossum villosulum,1
Farm1,ELS,2,06/26/14,Megachile centuncularis,1
Farm1,ELS,1,05/19/14,Nomada flava/panzeri,2
Farm2,HLS,3,04/08/14,Andrena flavipes,2
Farm2,HLS,3,04/08/14,Andrena flavipes,1
Farm2,HLS,3,04/08/14,Andrena flavipes,2
Farm2,HLS,1,05/18/14,Andrena haemorrhoa,1
Farm2,HLS,1,05/18/14,Andrena haemorrhoa,1
Farm2,HLS,3,04/08/14,Andrena minutula,1
Farm2,HLS,1,01/06/13,Andrena nitida,1
Farm2,HLS,2,06/23/14,Andrena wilkella,1
Farm2,HLS,2,06/27/13,Bombus barbutellus,1
Farm2,HLS,3,09/08/13,Bombus barbutellus,1
Farm2,HLS,1,01/06/13,Bombus hortorum,1
Farm2,HLS,2,06/27/13,Bombus hortorum,1
Farm2,HLS,2,06/27/13,Bombus hortorum,3
Farm2,HLS,2,06/23/14,Bombus hortorum,1
Farm2,HLS,2,06/23/14,Bombus hortorum,1
Farm2,HLS,3,04/08/14,Bombus hortorum,1
Farm2,HLS,3,04/08/14,Bombus hortorum,2
Farm2,HLS,1,05/18/14,Bombus hortorum,1
Farm2,HLS,3,09/08/13,Bombus hypnorum,1
Farm2,HLS,2,06/23/14,Bombus hypnorum,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,2
Farm2,HLS,2,06/27/13,Bombus lapidarius,3
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,4
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,5
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,18
Farm2,HLS,2,06/27/13,Bombus lapidarius,5
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,3
Farm2,HLS,2,06/27/13,Bombus lapidarius,1
Farm2,HLS,2,06/27/13,Bombus lapidarius,2
Farm2,HLS,2,06/27/13,Bombus lapidarius,4
Farm2,HLS,2,06/27/13,Bombus lapidarius,2
Farm2,HLS,2,06/27/13,Bombus lapidarius,2
Farm2,HLS,2,06/27/13,Bombus lapidarius,3
Farm2,HLS,2,06/27/13,Bombus lapidarius,38
Farm2,HLS,2,06/27/13,Bombus lapidarius,12
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,5
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,5
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,5
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,3,09/08/13,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,12
Farm2,HLS,2,06/23/14,Bombus lapidarius,2
Farm2,HLS,2,06/23/14,Bombus lapidarius,3
Farm2,HLS,2,06/23/14,Bombus lapidarius,25
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,21
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,2
Farm2,HLS,2,06/23/14,Bombus lapidarius,16
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,14
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,4
Farm2,HLS,2,06/23/14,Bombus lapidarius,5
Farm2,HLS,2,06/23/14,Bombus lapidarius,9
Farm2,HLS,2,06/23/14,Bombus lapidarius,19
Farm2,HLS,2,06/23/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lapidarius,45
Farm2,HLS,2,06/23/14,Bombus lapidarius,3
Farm2,HLS,2,06/23/14,Bombus lapidarius,6
Farm2,HLS,3,04/08/14,Bombus lapidarius,2
Farm2,HLS,3,04/08/14,Bombus lapidarius,2
Farm2,HLS,3,04/08/14,Bombus lapidarius,2
Farm2,HLS,3,04/08/14,Bombus lapidarius,2
Farm2,HLS,3,04/08/14,Bombus lapidarius,1
Farm2,HLS,3,04/08/14,Bombus lapidarius,1
Farm2,HLS,3,04/08/14,Bombus lapidarius,1
Farm2,HLS,2,06/23/14,Bombus lucorum,1
Farm2,HLS,3,04/08/14,Bombus lucorum,1
Farm2,HLS,1,01/06/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,3
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,4
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,3
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,2,06/27/13,Bombus pascuorum,1
Farm2,HLS,3,09/08/13,Bombus pascuorum,1
Farm2,HLS,3,09/08/13,Bombus pascuorum,4
Farm2,HLS,3,09/08/13,Bombus pascuorum,1
Farm2,HLS,3,09/08/13,Bombus pascuorum,1
Farm2,HLS,3,09/08/13,Bombus pascuorum,1
Farm2,HLS,3,09/08/13,Bombus pascuorum,1
Farm2,HLS,3,09/08/13,Bombus pascuorum,1
Farm2,HLS,3,09/08/13,Bombus pascuorum,3
Farm2,HLS,3,09/08/13,Bombus pascuorum,1
Farm2,HLS,1,05/18/14,Bombus pascuorum,1
Farm2,HLS,1,05/18/14,Bombus pascuorum,1
Farm2,HLS,2,06/23/14,Bombus pascuorum,1
Farm2,HLS,2,06/23/14,Bombus pascuorum,3
Farm2,HLS,2,06/23/14,Bombus pascuorum,1
Farm2,HLS,2,06/23/14,Bombus pascuorum,1
Farm2,HLS,2,06/23/14,Bombus pascuorum,1
Farm2,HLS,2,06/23/14,Bombus pascuorum,4
Farm2,HLS,2,06/23/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,3
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,4
Farm2,HLS,3,04/08/14,Bombus pascuorum,3
Farm2,HLS,3,04/08/14,Bombus pascuorum,5
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,9
Farm2,HLS,3,04/08/14,Bombus pascuorum,1
Farm2,HLS,3,04/08/14,Bombus pascuorum,3
Farm2,HLS,3,04/08/14,Bombus pascuorum,2
Farm2,HLS,2,06/27/13,Bombus pratorum,1
Farm2,HLS,2,06/27/13,Bombus pratorum,1
Farm2,HLS,2,06/27/13,Bombus pratorum,1
Farm2,HLS,2,06/27/13,Bombus pratorum,1
Farm2,HLS,2,06/27/13,Bombus terrestris,1
Farm2,HLS,3,09/08/13,Bombus terrestris,1
Farm2,HLS,3,09/08/13,Bombus terrestris,1
Farm2,HLS,3,09/08/13,Bombus terrestris,2
Farm2,HLS,3,09/08/13,Bombus terrestris,3
Farm2,HLS,3,09/08/13,Bombus terrestris,1
Farm2,HLS,3,09/08/13,Bombus terrestris,1
Farm2,HLS,1,05/18/14,Bombus terrestris,1
Farm2,HLS,1,05/18/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,2
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,2
Farm2,HLS,2,06/23/14,Bombus terrestris,2
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,3
Farm2,HLS,2,06/23/14,Bombus terrestris,3
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,2,06/23/14,Bombus terrestris,1
Farm2,HLS,3,04/08/14,Bombus terrestris,1
Farm2,HLS,3,04/08/14,Bombus terrestris,1
Farm2,HLS,3,04/08/14,Bombus terrestris,1
Farm2,HLS,3,04/08/14,Bombus terrestris,1
Farm2,HLS,3,04/08/14,Bombus terrestris,1
Farm2,HLS,2,06/27/13,Bombus vestalis,1
Farm2,HLS,2,06/27/13,Bombus vestalis,1
Farm2,HLS,3,09/08/13,Lasioglossum calceatum,1
Farm2,HLS,1,05/18/14,Lasioglossum calceatum,1
Farm2,HLS,3,04/08/14,Lasioglossum calceatum,1
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,6
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,3
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,5
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,5
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,2
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,1
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,1
Farm2,HLS,2,06/23/14,Lasioglossum malachurum,1
Farm2,HLS,3,04/08/14,Lasioglossum malachurum,1
Farm2,HLS,3,04/08/14,Lasioglossum malachurum,1
Farm2,HLS,2,06/23/14,Lasioglossum morio,1
Farm2,HLS,1,01/06/13,Lasioglossum pauxillum,1
Farm2,HLS,3,04/08/14,Lasioglossum villosulum,1
Farm2,HLS,2,06/23/14,Megachile centuncularis,1
Farm2,HLS,2,06/27/13,Megachile versicolor,1
Farm2,HLS,1,01/06/13,Nomada flava/panzeri,1
Farm2,HLS,1,05/18/14,Nomada goodeniana,1
Farm2,HLS,1,05/18/14,Nomada ruficornis,1
Farm2,HLS,2,06/23/14,Osmia leaiana,1
Farm4,HLS,1,05/19/14,Andrena cineraria,1
Farm4,HLS,3,11/08/13,Andrena dorsata,1
Farm4,HLS,1,05/19/14,Andrena flavipes,1
Farm4,HLS,1,05/19/14,Andrena florea,1
Farm4,HLS,1,05/19/14,Andrena haemorrhoa,1
Farm4,HLS,1,05/19/14,Andrena haemorrhoa,1
Farm4,HLS,3,05/08/14,Andrena minutula,1
Farm4,HLS,3,05/08/14,Andrena minutuloides,1
Farm4,HLS,1,05/19/14,Andrena nitida,1
Farm4,HLS,1,05/19/14,Andrena nitida,1
Farm4,HLS,1,05/19/14,Andrena semilaevis,1
Farm4,HLS,1,05/19/14,Andrena wilkella,1
Farm4,HLS,2,06/29/13,Anthophora furcata,1
Farm4,HLS,2,06/25/14,Anthophora furcata,1
Farm4,HLS,3,05/08/14,Anthophora furcata,1
Farm4,HLS,3,05/08/14,Anthophora furcata,1
Farm4,HLS,1,01/06/13,Bombus hortorum,1
Farm4,HLS,3,11/08/13,Bombus hortorum,1
Farm4,HLS,3,11/08/13,Bombus hortorum,1
Farm4,HLS,2,06/29/13,Bombus hortorum,2
Farm4,HLS,2,06/29/13,Bombus hortorum,4
Farm4,HLS,2,06/29/13,Bombus hortorum,1
Farm4,HLS,2,06/29/13,Bombus hortorum,1
Farm4,HLS,2,06/29/13,Bombus hortorum,2
Farm4,HLS,2,06/29/13,Bombus hortorum,1
Farm4,HLS,2,06/29/13,Bombus hortorum,1
Farm4,HLS,2,06/29/13,Bombus hortorum,4
Farm4,HLS,2,06/29/13,Bombus hortorum,14
Farm4,HLS,2,06/29/13,Bombus hortorum,1
Farm4,HLS,2,06/29/13,Bombus hortorum,7
Farm4,HLS,2,06/29/13,Bombus hortorum,2
Farm4,HLS,2,06/25/14,Bombus hortorum,1
Farm4,HLS,2,06/25/14,Bombus hortorum,1
Farm4,HLS,2,06/25/14,Bombus hortorum,3
Farm4,HLS,2,06/25/14,Bombus hortorum,2
Farm4,HLS,3,05/08/14,Bombus hortorum,2
Farm4,HLS,3,05/08/14,Bombus hortorum,1
Farm4,HLS,3,05/08/14,Bombus hortorum,7
Farm4,HLS,1,05/19/14,Bombus hortorum,1
Farm4,HLS,1,05/19/14,Bombus hortorum,1
Farm4,HLS,2,06/29/13,Bombus hypnorum,1
Farm4,HLS,3,11/08/13,Bombus hypnorum,2
Farm4,HLS,2,06/29/13,Bombus lapidarius,2
Farm4,HLS,2,06/29/13,Bombus lapidarius,1
Farm4,HLS,2,06/29/13,Bombus lapidarius,3
Farm4,HLS,2,06/29/13,Bombus lapidarius,1
Farm4,HLS,2,06/29/13,Bombus lapidarius,3
Farm4,HLS,2,06/29/13,Bombus lapidarius,3
Farm4,HLS,2,06/29/13,Bombus lapidarius,2
Farm4,HLS,2,06/29/13,Bombus lapidarius,2
Farm4,HLS,3,11/08/13,Bombus lapidarius,1
Farm4,HLS,3,11/08/13,Bombus lapidarius,1
Farm4,HLS,3,11/08/13,Bombus lapidarius,2
Farm4,HLS,3,11/08/13,Bombus lapidarius,1
Farm4,HLS,3,11/08/13,Bombus lapidarius,1
Farm4,HLS,3,11/08/13,Bombus lapidarius,1
Farm4,HLS,3,11/08/13,Bombus lapidarius,9
Farm4,HLS,3,11/08/13,Bombus lapidarius,6
Farm4,HLS,3,11/08/13,Bombus lapidarius,10
Farm4,HLS,3,11/08/13,Bombus lapidarius,1
Farm4,HLS,3,11/08/13,Bombus lapidarius,54
Farm4,HLS,3,11/08/13,Bombus lapidarius,51
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,2
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,4
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,7
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,4
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,2,06/25/14,Bombus lapidarius,6
Farm4,HLS,2,06/25/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,2
Farm4,HLS,3,05/08/14,Bombus lapidarius,3
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,10
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,4
Farm4,HLS,3,05/08/14,Bombus lapidarius,7
Farm4,HLS,3,05/08/14,Bombus lapidarius,6
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,7
Farm4,HLS,3,05/08/14,Bombus lapidarius,2
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,3,05/08/14,Bombus lapidarius,32
Farm4,HLS,3,05/08/14,Bombus lapidarius,1
Farm4,HLS,1,05/19/14,Bombus lapidarius,1
Farm4,HLS,2,06/29/13,Bombus lucorum,1
Farm4,HLS,2,06/29/13,Bombus lucorum,1
Farm4,HLS,3,11/08/13,Bombus lucorum,1
Farm4,HLS,3,11/08/13,Bombus lucorum,1
Farm4,HLS,3,11/08/13,Bombus lucorum,2
Farm4,HLS,3,11/08/13,Bombus lucorum,1
Farm4,HLS,3,11/08/13,Bombus lucorum,1
Farm4,HLS,3,11/08/13,Bombus lucorum,1
Farm4,HLS,3,05/08/14,Bombus lucorum,4
Farm4,HLS,3,05/08/14,Bombus lucorum,1
Farm4,HLS,3,05/08/14,Bombus lucorum,2
Farm4,HLS,3,05/08/14,Bombus lucorum,1
Farm4,HLS,2,06/25/14,Bombus lucorum,1
Farm4,HLS,2,06/25/14,Bombus lucorum,1
Farm4,HLS,1,01/06/13,Bombus pascuorum,1
Farm4,HLS,1,01/06/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,2
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,2
Farm4,HLS,2,06/29/13,Bombus pascuorum,3
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,2
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,5
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,1
Farm4,HLS,2,06/29/13,Bombus pascuorum,2
Farm4,HLS,3,11/08/13,Bombus pascuorum,10
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,2
Farm4,HLS,3,11/08/13,Bombus pascuorum,3
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,4
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,3
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,1
Farm4,HLS,3,11/08/13,Bombus pascuorum,3
Farm4,HLS,3,05/08/14,Bombus pascuorum,1
Farm4,HLS,3,05/08/14,Bombus pascuorum,4
Farm4,HLS,3,05/08/14,Bombus pascuorum,1
Farm4,HLS,3,05/08/14,Bombus pascuorum,3
Farm4,HLS,3,05/08/14,Bombus pascuorum,5
Farm4,HLS,3,05/08/14,Bombus pascuorum,1
Farm4,HLS,3,05/08/14,Bombus pascuorum,2
Farm4,HLS,3,05/08/14,Bombus pascuorum,2
Farm4,HLS,3,05/08/14,Bombus pascuorum,4
Farm4,HLS,3,05/08/14,Bombus pascuorum,1
Farm4,HLS,3,05/08/14,Bombus pascuorum,1
Farm4,HLS,3,05/08/14,Bombus pascuorum,1
Farm4,HLS,3,05/08/14,Bombus pascuorum,3
Farm4,HLS,3,05/08/14,Bombus pascuorum,1
Farm4,HLS,1,05/19/14,Bombus pascuorum,1
Farm4,HLS,1,05/19/14,Bombus pascuorum,1
Farm4,HLS,1,05/19/14,Bombus pascuorum,1
Farm4,HLS,1,05/19/14,Bombus pascuorum,1
Farm4,HLS,1,05/19/14,Bombus pascuorum,1
Farm4,HLS,2,06/25/14,Bombus pascuorum,1
